Name,Price,Description,Image_Link,Colors,Sizes
Converse x Peanuts Chuck 70 High Top,,"CONVERSE x PEANUTS. Converse teams up with the iconic comic strip to bring some lighthearted positivity to the world. On the premium Chuck 70, expert craftsmanship and classic style gets a playful twist with an all-over Woodstock camo print and custom details. Get nostalgic with the Converse x Peanuts Chuck 70.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a01871c_a_107x1_1.jpg,,M 3 / W 5|M 3.5 / W 5.5|M 4 / W 6
Chuck Taylor All Star Construct High Top,CA$100.00,"ROUGHER. TOUGHER. A taller, tougher pair of Chucks to sink your feet into. The icon turns to '80s court shoes for a cupsole look that packs a punch. Heritage elements are still in full effect—classic pinstripes, toe cap, and toe bumper remain—but with elevated details. The traditional diamond outsole pattern gets overlayed with a herringbone texture for better grip. Deco stitching gives a luxe look. Rounded out with OrthoLite cushioning to give you all day comfort.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03876c_a_107x1.jpg,,M 3 / W 4.5|M 3.5 / W 5|M 4 / W 5.5|M 5 / W 6.5|M 5.5 / W 7|M 9 / W 10.5|M 9.5 / W 11
Chuck Taylor All Star Construct High Top,CA$100.00,"ROUGHER. TOUGHER. A taller, tougher pair of Chucks to sink your feet into. The icon turns to '80s court shoes for a cupsole look that packs a punch. Heritage elements are still in full effect—classic pinstripes, toe cap, and toe bumper remain—but with elevated details. The traditional diamond outsole pattern gets overlayed with a herringbone texture for better grip. Deco stitching gives a luxe look. Rounded out with OrthoLite cushioning to give you all day comfort.",,,M 3 / W 4.5|M 3.5 / W 5|M 4 / W 5.5
Chuck Taylor All Star Construct High Top,CA$100.00,"ROUGHER. TOUGHER. A taller, tougher pair of Chucks to sink your feet into. The icon turns to '80s court shoes for a cupsole look that packs a punch. Heritage elements are still in full effect—classic pinstripes, toe cap, and toe bumper remain—but with elevated details. The traditional diamond outsole pattern gets overlayed with a herringbone texture for better grip. Deco stitching gives a luxe look. Rounded out with OrthoLite cushioning to give you all day comfort.",,,M 3 / W 4.5|M 3.5 / W 5|M 4 / W 5.5|M 4.5 / W 6|M 5 / W 6.5|M 5.5 / W 7|M 6 / W 7.5|M 7.5 / W 9|M 8.5 / W 10|M 9 / W 10.5|M 10 / W 11.5
Chuck 70 AT-CX High Top,CA$140.00,"EXPLORE COMFORT The Chuck 70 AT-CX fuses Converse heritage and classic outdoor colours to keep up with the always wondering, always wandering creative explorer. This version turns to workwear fabric for a dapper twist that nods to the past and considers the future. Cotton woven twill provides durability, while the iconic Chuck 70 silhouette gives you versatile style to explore your own backyard, around town, or wherever adventure leads. Rounded out with a diamond lugged traction outsole and CX foam to keep you comfortably on the move.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a02778c_a_107x1_1.jpg,Cyber Grey/Lunar Grey/Egret:https://converse.ca/media/catalog/product/cache/e646b40d69f530ee828d53f41d45e545/a/0/a02779c_a_107x1_1_1.jpg|Burnt Honey/Thriftshop Yellow/Egret:https://converse.ca/media/catalog/product/cache/e646b40d69f530ee828d53f41d45e545/a/0/a02778c_a_107x1_1_1.jpg,M 6 / W 7.5|M 6.5 / W 8|M 7 / W 8.5|M 7.5 / W 9|M 8 / W 9.5|M 8.5 / W 10|M 9 / W 10.5|M 9.5 / W 11|M 10 / W 11.5|M 10.5 / W 12|M 11 / W 12.5|M 12 / W 13.5
Chuck 70 Plus Lunar New Year High Top,CA$130.00,"LUNAR DISRUPTION 2023 is the Year of the Rabbit in the Lunar New Year calendar, and to celebrate, the Chuck 70 Plus arrives—remixed and distorted. Premium vibes courtesy of a satin upper set this one apart from first glance, while symmetrical layers and angles blur the lines and redefine what it means to be a classic. ",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a05265c_a_107x1.jpg,,M 3 / W 5|M 3.5 / W 5.5|M 4 / W 6|M 4.5 / W 6.5|M 5 / W 7|M 5.5 / W 7.5|M 6.5 / W 8.5|M 7 / W 9|M 7.5 / W 9.5|M 8 / W 10|M 8.5 / W 10.5|M 9 / W 11
Chuck 70 Year of the Rabbit High Top,CA$110.00,"? RABBIT 2023 is the Year of the Rabbit in the Lunar New Year calendar, and the Chuck 70 arrives to celebrate the event with details inspired by Chinese culture. It still has the classic elements you love—like soft cushioning and winged stitching, for comfort that goes with anything.",,,M 3 / W 5|M 3.5 / W 5.5|M 4 / W 6|M 4.5 / W 6.5|M 5 / W 7|M 5.5 / W 7.5|M 6.5 / W 8.5|M 7 / W 9|M 7.5 / W 9.5|M 8 / W 10|M 8.5 / W 10.5|M 9 / W 11|M 9.5 / W 11.5
Chuck 70 Marquis Year of the Rabbit High Top,CA$130.00,"LUNAR NEW YEAR 2023 is the Year of the Rabbit in the Lunar New Year calendar, and to celebrate, the Chuck 70 Marquis is here. The next evolution of an icon bridges the gap between seamless comfort and elevated materials. A game-changing, three-piece mesh lining helps minimize heel irritation. Plus, the innovative CX cushioning provides a plush feel with every step. ",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a05262c_a_107x1.jpg,,M 3 / W 5|M 3.5 / W 5.5|M 4 / W 6|M 4.5 / W 6.5|M 5 / W 7|M 5.5 / W 7.5|M 6 / W 8|M 6.5 / W 8.5|M 7 / W 9|M 7.5 / W 9.5|M 8 / W 10|M 8.5 / W 10.5|M 9 / W 11|M 9.5 / W 11.5
Chuck Taylor All Star Earthy Suede High Top,CA$100.00,"SUEDE SEASON. Subtle tonal shifts in new, nature-fueled colours take your favourite Chucks to a whole new level. Made with a breathable, mesh-lined suede upper, the colour-blocked design keeps the look clean and classic from every angle. Complete with classic and tonal laces, all that's missing is your unique styling.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03780c_a_107x1_1.jpg,Utility/Light Field Surplus/Egret:https://converse.ca/media/catalog/product/cache/e646b40d69f530ee828d53f41d45e545/a/0/a03780c_a_107x1_1_1.jpg|Dark Root/Engine Smoke/Egret:https://converse.ca/media/catalog/product/cache/e646b40d69f530ee828d53f41d45e545/a/0/a03781c_a_107x1_1_1.jpg,M 3 / W 5|M 3.5 / W 5.5|M 4 / W 6|M 5 / W 7|M 5.5 / W 7.5|M 8 / W 10|M 8.5 / W 10.5|M 9 / W 11|M 9.5 / W 11.5|M 10.5 / W 12.5|M 11.5 / W 13.5|M 13 / W 15
Converse x Patta x Experimental Jetset Chuck 70 High Top,CA$130.00,"CONVERSE x PATTA x EXPERIMENTAL JETSET To walk is to read. To read is to walk. Converse teams up with Amsterdam’s very own Patta and design agency Experimental Jetset on a conceptual Chuck 70, inspired by unexpected city exploration and what the streets tell us when we let them speak for themselves. The design utilizes a stark white canvas and foxing with vivid blue and red arrows and text distorting their meaning. Right is left. South is north. Defy the traditional map and let your feet wander.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03173c_a_107x1.jpg,,M 3 / W 5|M 3.5 / W 5.5|M 4 / W 6|M 5 / W 7
Chuck 70 Twisted Classics High Top,CA$110.00,"RETRO REIMAGINED The premium Chuck 70 takes a trip down memory lane—'70s-inspired patterns find balance with modern elements in this reimagination of a classic. Future-forward modern comfort updates like a cotton upper and ultra-comfortable cushioning make it ready for all-day wear, while geometric prints these help you stand out.",,,M 3 / W 5|M 3.5 / W 5.5|M 4 / W 6|M 4.5 / W 6.5|M 5 / W 7|M 5.5 / W 7.5|M 7.5 / W 9.5|M 8 / W 10|M 8.5 / W 10.5|M 9 / W 11|M 9.5 / W 11.5
Chuck Taylor All Star Pro Cordura Canvas Mid Top,CA$85.00,"CORDURA, SKATE STYLE. Inspired by how the CONS skateboarding team customized their high tops, the Converse All Star Pro comes in a mid top height for added ankle protection. Rubber-backed Cordura canvas brings maximum durability, while CX foam cushioning gives you impact protection. Wherever your board takes you, these structured Chucks have you covered.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03224c_a_107x1.jpg,,M 6.5 / W 8.5
Chuck 70 Beyond Retro Velvet Low Top,CA$115.00,"UPCYCLED BY BEYOND RETRO UK vintage retailer Beyond Retro teams up with Converse to give new life to upcycled materials. This holiday season, the premium Chuck 70 gets cozy with a cushioned OrthoLite insole for all-day comfort and velvet made from polyester. Embroidered details introduce a crafted look to enhance the look and feel. In the upcycle process, the colours and texture of the velvet varies, so each pair is unique, giving you a style that's all your own.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03267c_a_107x1.jpg,,M 7.5 / W 9.5|M 8 / W 10|M 8.5 / W 10.5
Run Star Hike Platform Leather High Top,CA$140.00,"DISTORTED FOR THE SEASON With purposefully distorted edges, the Run Star Hike reimagines self-expression. Combining modern elements like a leather build and jagged rubber sole with classic details and fluid expression, these platforms will help you stand out and stand tall in fall style.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a04306c_a_107x1.jpg,,M 3 / W 4.5|M 3.5 / W 5|M 4 / W 5.5|M 4.5 / W 6|M 5 / W 6.5|M 5.5 / W 7|M 6 / W 7.5|M 8.5 / W 10|M 9 / W 10.5|M 9.5 / W 11
Converse x Stüssy Chuck 70 8-Ball High Top,CA$140.00,"CONVERSE x STÜSSY You know it when you see it. As simple as it is bold, the OG Stüssy 8-ball graphic is an instantly recognizable symbol of underground street style—worn by subcultures for decades. The latest drop in our ongoing collaboration highlights the infamous graphic for the first time, giving it the star treatment on the Chuck 70. With vintage details, an unvarnished foxing nodding to classic Chucks and a rough, hairy suede upper that’s out of the ‘90s, the design pulls together distinct elements from the past to create a bold street style for the next generation.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03711c_a_107x1.jpg,,M 8 / W 10|M 8.5 / W 10.5|M 9 / W 11
All Star BB Prototype CX Holiday Cookie Low Top,CA$150.00,"SUGAR RUSH. Inspired by the biggest basketball gameday of the year, this performance sneaker gives you that holiday sugar rush. Colorful sprinkles cover the footbed and the backtab Star Chevron, a sweet reference to Santa's favorite treat—the sugar cookie. Even left and right colorblocking get in on the holiday-inspired colors. Featuring a hidden webbing lacing system for containment, Nike Air Zoom in the forefoot for stability, and a CX foam sockliner and midsole to give you the support you need.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a01244c_a_107x1.jpg,,M 6 / W 7.5|M 6.5 / W 8|M 7 / W 8.5|M 7.5 / W 9|M 8 / W 9.5|M 8.5 / W 10|M 9 / W 10.5|M 9.5 / W 11|M 10 / W 11.5|M 10.5 / W 12
Run Star Legacy CX High Top,CA$130.00,"FUTURE LEGACY. The latest iteration of the best-selling Run Star Hike, the Run Star Legacy CX mixes bold platform styling with premium comfort. A lightweight CX midsole and sockliner keep you light on your feet, while distorted Chuck Taylor design elements keep them guessing. A winged tongue and heel bumper allow for easy on and off, so nothing can slow you down.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a00869c_a_107x1.jpg,,M 3 / W 4.5|M 3.5 / W 5|M 4 / W 5.5|M 5.5 / W 7|M 6.5 / W 8|M 7.5 / W 9
Chuck Taylor All Star Lugged 2.0 Counter Climate High Top,CA$160.00,"EMBRACE THE ELEMENTS. Lugged Chucks are back and ready to take on the season. Now with a taller rubber sidewall for added protection and bold, chevron-inspired tread for style and stability. Waterproof leather and a gusseted tongue join forces to keep the elements out, while a soft fleece lining helps to keep you comfortable. Hiker-inspired elements like rounded laces and speed hooks complete the outdoor-ready look in new, nature-fueled colors.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a00912c_a_107x1.jpg,,M 3 / W 5|M 3.5 / W 5.5|M 4 / W 6|M 4.5 / W 6.5|M 5 / W 7|M 5.5 / W 7.5|M 6 / W 8|M 6.5 / W 8.5|M 7 / W 9|M 7.5 / W 9.5
Converse x DRKSHDW TURBODRK Chuck 70 High Top,CA$220.00,"CONVERSE x DRKSHDW Break from convention with a bold new edition of the TURBODRK Chuck 70, created by Rick Owens. The subversive design both celebrates and distorts the lines of our most iconic silhouette—stretching the possibilities with an elongated tongue, adding a zebra-inspired jacquard finish and applying the collaboration’s signature square toe. It’s the bold reinvention of a street classic. And a rebellion against the ubiquitous. Rick Owens crafts a Chuck 70 unlike any other.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03943c_a_107x1.jpg,,M 3 / W 5|M 3.5 / W 5.5|M 4 / W 6|M 4.5 / W 6.5|M 5 / W 7|M 5.5 / W 7.5|M 6 / W 8|M 6.5 / W 8.5|M 7 / W 9|M 7.5 / W 9.5|M 8 / W 10|M 8.5 / W 10.5|M 9 / W 11|M 9.5 / W 11.5|M 10 / W 12|M 10.5 / W 12.5|M 11.5 / W 13.5
